,bin_index,chromosome,mean_cnv
0,0,chr1,0.009107482317209207
1,1,chr1,0.010061692305617325
2,2,chr1,0.008054679311012206
3,3,chr1,0.0036114946643026617
4,4,chr1,0.0019100601775022495
5,5,chr1,0.0007796299981457469
6,6,chr1,0.0004159830622645853
7,7,chr1,0.0006049398345340109
8,8,chr1,0.0017504493920496606
9,9,chr1,0.005915983259089166
10,10,chr1,0.008737750119913956
11,11,chr1,0.012276120453182696
12,12,chr1,0.013341280364305408
13,13,chr1,0.015404414940309665
14,14,chr1,0.0152429358047349
15,15,chr1,0.01490829232565097
16,16,chr1,0.01379389281408962
17,17,chr1,0.010711723308908115
18,18,chr1,0.003169941234644533
19,19,chr1,0.000459506415397934
20,20,chr1,0.00043196760856139676
21,21,chr1,0.0001065843920409333
22,22,chr1,-2.8475118201272596e-05
23,23,chr1,-2.5360702172299994e-05
24,24,chr1,0.0
25,25,chr1,0.0
26,26,chr1,0.004944997639811546
27,27,chr1,0.007204587474744903
28,28,chr1,0.008762805765618189
29,29,chr1,0.005862537905115685
30,30,chr1,0.0025438987186377424
31,31,chr1,0.00014732332283673416
32,32,chr1,0.0
33,33,chr1,0.0
34,34,chr1,0.0
35,35,chr1,0.0
36,36,chr1,0.0
37,37,chr1,2.520508416596525e-05
38,38,chr1,0.0018229911403372088
39,39,chr1,0.005343799793862787
40,40,chr1,0.00973032491871289
41,41,chr1,0.015201637307353383
42,42,chr1,0.01757197054748881
43,43,chr1,0.017168844841018154
44,44,chr1,0.01531425727570456
45,45,chr1,0.01132428755884461
46,46,chr1,0.007668300119522044
47,47,chr1,0.004397403409167547
48,48,chr1,0.006674635355710277
49,49,chr1,0.012886598285132845
50,50,chr1,0.020067166904921812
51,51,chr1,0.025355766778640907
52,52,chr1,0.026784981077362904
53,53,chr1,0.015367304548496235
54,54,chr1,0.0037368779032017035
55,55,chr1,0.00018340107643109708
56,56,chr1,2.461343767660699e-05
57,57,chr1,-2.6422452161241827e-05
58,58,chr1,-4.992521480224658e-05
59,59,chr1,6.926416884093243e-05
60,60,chr1,0.0005426989913816651
61,61,chr1,0.00021650207649183403
62,62,chr1,6.116785328935881e-05
63,63,chr1,-5.2067186246697184e-05
64,64,chr1,-0.00030924494062800894
65,65,chr1,-0.0004539093246235793
66,66,chr1,-0.000371221437248201
67,67,chr1,9.962658472676532e-05
68,68,chr1,-2.4846509060284183e-05
69,69,chr1,7.788078125402966e-05
70,70,chr1,-0.0003828026805905516
71,71,chr1,-0.0004110145958427907
72,72,chr1,-0.00040423765268783173
73,73,chr1,-0.00022701294388841043
74,74,chr1,1.0171885613256029e-05
75,75,chr1,0.001311805992527195
76,76,chr1,0.001717242848495887
77,77,chr1,8.626890647096592e-05
78,78,chr1,-0.002264791117049683
79,79,chr1,-0.001897952455716201
80,80,chr1,-0.0011960689763811704
81,81,chr1,-7.951744686396236e-05
82,82,chr1,0.0030769754123121298
83,83,chr1,0.008158251787331807
84,84,chr1,0.009417588049950748
85,85,chr1,0.008763121996442878
86,86,chr1,0.006171848606816574
87,87,chr1,0.00102755097082028
88,88,chr1,5.189242973694198e-05
89,89,chr1,2.5270890179045406e-05
90,90,chr1,0.00015499024516045545
91,91,chr1,5.4968664309233836e-05
92,92,chr1,2.4304327588388507e-05
93,93,chr1,-2.4392413206055424e-05
94,94,chr1,-0.00011095578682707094
95,95,chr1,-0.001984120683954132
96,96,chr1,-0.010435977871564922
97,97,chr1,-0.015885360906699755
98,98,chr1,-0.018237603873813575
99,99,chr1,-0.01887842672400681
100,100,chr1,-0.01660682700053867
101,101,chr1,-0.014789341992488917
102,102,chr1,-0.012964362072776948
103,103,chr1,-0.010404301441342993
104,104,chr1,-0.009120664389051977
105,105,chr1,-0.006646469236617523
106,106,chr1,-0.004397421682875626
107,107,chr1,-0.004465044433481363
108,108,chr1,-0.005556424781761812
109,109,chr1,-0.007471225835728188
110,110,chr1,-0.010365209723856336
111,111,chr1,-0.014859455121365484
112,112,chr1,-0.015647579055802757
113,113,chr1,-0.01010572285307454
114,114,chr1,-0.0024463583460584584
115,115,chr1,-0.0003963455871224934
116,116,chr1,0.0
117,117,chr1,0.0004240851698085638
118,118,chr1,0.00039821611378963473
119,119,chr1,0.0
120,120,chr1,2.436793273297644e-05
121,121,chr1,0.000560754517249513
122,122,chr1,0.001795644757303626
123,123,chr1,0.004247356392028682
124,124,chr1,0.007395352324670695
125,125,chr1,0.005893206601918449
126,126,chr1,0.0028838700651852584
127,127,chr1,0.0008717480732628167
128,128,chr1,0.0006410222730673506
129,129,chr1,0.0006847386404967281
130,130,chr1,0.0018056384524962623
131,131,chr1,0.004541463776679091
132,132,chr1,0.006518172142907447
133,133,chr1,0.002282064959362493
134,134,chr1,0.00067775869370264
135,135,chr1,0.00010733744502047047
136,136,chr1,0.0
137,137,chr1,0.0
138,138,chr2,0.0
139,139,chr2,0.0
140,140,chr2,0.0
141,141,chr2,0.0
142,142,chr2,0.0
143,143,chr2,0.0
144,144,chr2,0.0
145,145,chr2,0.0
146,146,chr2,0.0
147,147,chr2,0.0
148,148,chr2,0.0
149,149,chr2,2.5980842614668664e-05
150,150,chr2,0.0003542022281729537
151,151,chr2,0.0005370630371070827
152,152,chr2,0.0006046432496488352
153,153,chr2,0.00028380399182735593
154,154,chr2,0.0
155,155,chr2,0.0
156,156,chr2,0.0
157,157,chr2,-0.00012626368435047879
158,158,chr2,-0.0002642612450467441
159,159,chr2,-0.00015649954203799578
160,160,chr2,-0.00015192669280595522
161,161,chr2,-0.0004440431805316797
162,162,chr2,-0.00028785056948217195
163,163,chr2,-0.0002845517796680983
164,164,chr2,-0.00026786819318528644
165,165,chr2,-0.00024001632156191586
166,166,chr2,-0.00010603162520865685
167,167,chr2,-0.0001287293994622526
168,168,chr2,-9.959109132126719e-05
169,169,chr2,-0.00025730533329694965
170,170,chr2,-0.0016256563988835833
171,171,chr2,-0.001968217334379011
172,172,chr2,-0.0014779210938211768
173,173,chr2,-0.0008970940558288765
174,174,chr2,-9.891969300364013e-05
175,175,chr2,-4.989504120175729e-05
176,176,chr2,-2.493472670764789e-05
177,177,chr2,0.0
178,178,chr2,0.0
179,179,chr2,0.00015385140018346
180,180,chr2,0.0005360702769479847
181,181,chr2,0.0009943702273010034
182,182,chr2,0.0004891374473724499
183,183,chr2,0.0
184,184,chr2,-2.4499238402888682e-05
185,185,chr2,-0.008251851385220856
186,186,chr2,-0.017514312067527307
187,187,chr2,-0.018304593723709052
188,188,chr2,-0.016788357276902033
189,189,chr2,-0.013246721816017791
190,190,chr2,-0.007191909303481298
191,191,chr2,-0.00012471895225173326
192,192,chr2,0.0
193,193,chr2,0.0
194,194,chr2,0.0
195,195,chr2,0.0
196,196,chr2,-0.0016776974187811852
197,197,chr2,-0.009192304832080157
198,198,chr2,-0.015495260139734748
199,199,chr2,-0.020136017310493037
200,200,chr2,-0.02262516867183475
201,201,chr2,-0.021734576457000113
202,202,chr2,-0.018513543966049827
203,203,chr2,-0.012881504908263206
204,204,chr2,-0.0068864305422002385
205,205,chr2,-0.0021214702108030238
206,206,chr2,-0.000847344881457576
207,207,chr2,-0.000202481205504289
208,208,chr2,0.0
209,209,chr2,0.0
210,210,chr2,2.4856611548684194e-05
211,211,chr2,0.0007346701756383752
212,212,chr2,0.004629476105064818
213,213,chr2,0.010142030911669164
214,214,chr2,0.010959367771582504
215,215,chr2,0.006014186244001699
216,216,chr2,0.0027476303921952256
217,217,chr2,0.0014358679644590276
218,218,chr2,0.0010313974077636606
219,219,chr2,0.0010438436501518983
220,220,chr2,0.0013339110283083896
221,221,chr2,0.0014593055113966014
222,222,chr2,0.0018943056577416714
223,223,chr3,-0.004474885042016818
