chromosome,chr_num,bin_index,truth_value,pred_value,x,truth_label,pred_label,truth,pred
chr1,1,0,0.009107482317209207,0.00444484215454623,0.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,1,0.010061692305617325,0.003625259828316449,1.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,2,0.008054679311012206,0.0031107001998892346,2.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,3,0.0036114946643026617,0.0021030809197979455,3.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,4,0.0019100601775022495,0.0018250584644998933,4.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,5,0.0007796299981457469,0.001956125942153602,5.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,6,0.0004159830622645853,0.001297084555433829,6.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,7,0.0006049398345340109,0.0014323920220486732,7.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,8,0.0017504493920496606,0.0022377102285425065,8.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,9,0.005915983259089166,0.0037474693895367,9.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,10,0.008737750119913956,0.006274035773285712,10.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,11,0.012276120453182696,0.00767177475048331,11.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,12,0.013341280364305408,0.006564385274111648,12.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,13,0.015404414940309665,0.005266431515800797,13.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,14,0.0152429358047349,0.00414046216270865,14.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,15,0.01490829232565097,0.0023760609629546203,15.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,16,0.01379389281408962,0.0024981003214313057,16.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,17,0.010711723308908115,0.0023241406709255926,17.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,18,0.003169941234644533,0.0016397380991275952,18.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,19,0.000459506415397934,0.001016888501321776,19.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,20,0.00043196760856139676,0.000721145207213432,20.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,21,0.0001065843920409333,0.0004172718400576886,21.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,22,-2.8475118201272596e-05,0.00026710742166430177,22.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,23,-2.5360702172299994e-05,0.00026817034454317885,23.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,24,0.0,0.0004722667983628212,24.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,25,0.0,0.0008462912016628678,25.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,26,0.004944997639811546,0.001866354889802527,26.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,27,0.007204587474744903,0.0023326577429520945,27.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,28,0.008762805765618189,0.0018634420044677856,28.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,29,0.005862537905115685,0.0009892575328417554,29.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,30,0.0025438987186377424,0.0005623731924712155,30.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,31,0.00014732332283673416,0.00031165338133507946,31.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,32,0.0,0.00023692233448857633,32.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,33,0.0,0.00021935239129742775,33.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,34,0.0,0.0003173984318238851,34.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,35,0.0,0.0004959805909499517,35.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,36,0.0,0.0006883308823743828,36.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,37,2.520508416596525e-05,0.0010579795334493267,37.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,38,0.0018229911403372088,0.0016296761219759374,38.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,39,0.005343799793862787,0.002599150760948939,39.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,40,0.00973032491871289,0.003507396611285085,40.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,41,0.015201637307353383,0.0035310234553620635,41.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,42,0.01757197054748881,0.0025695986199382086,42.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,43,0.017168844841018154,0.0018833539160881883,43.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,44,0.01531425727570456,0.0010300704613739418,44.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,45,0.01132428755884461,0.0005152128604275671,45.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,46,0.007668300119522044,0.000338284464296122,46.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,47,0.004397403409167547,0.00033827662840491663,47.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,48,0.006674635355710277,0.00038362265932923495,48.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,49,0.012886598285132845,0.0005603414283869746,49.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,50,0.020067166904921812,0.0008218883801123937,50.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,51,0.025355766778640907,0.0009791712847632447,51.0,snPATHOseq,CosMx_tumor,1,0
chr1,1,52,0.026784981077362904,0.0009313412048497792,52.0,snPATHOseq,CosMx_tumor,1,0
chr1,1,53,0.015367304548496235,0.000513082844313109,53.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,54,0.0037368779032017035,0.00023820006511180502,54.0,snPATHOseq,CosMx_tumor,0,0
chr1,1,55,0.00018340107643109708,0.0001301370307977594,55.0,snPATHOseq,CosMx_tumor,0,0
